"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"Dusche","German","shower","nouns","furniture_rooms","Dusche",NA,NA,NA,NA,NA,NA,NA
"Eichhörnchen","German","squirrel","nouns","animals","Eichhörnchen",NA,NA,NA,NA,NA,NA,NA
"Eimer","German","bucket","nouns","household","Eimer",NA,NA,NA,NA,NA,NA,NA
"ein","German","a","function_words","quantifiers","ein",21344,4.43623964001848,5.13753866847244,3.92408144172237,2.95689109303347,2.55938712257047,2.46865858804286
"ein bisschen","German","a little","function_words","quantifiers","ein bisschen",NA,NA,NA,NA,NA,NA,NA
"eine","German","a","function_words","quantifiers","eine",9507,5.2449819403748,6.25891250933696,4.782659209238,3.57921417290344,3.04909607877564,2.92493471038363
"einer","German","a","function_words","quantifiers","einer",955,7.5430542482531,7.62686273807661,4.4667712823944,2.76179433282706,2.28187098011593,2.18845972295396
"Eis","German","ice cream","nouns","food_drink","Eis",NA,NA,NA,NA,NA,NA,NA
"Elefant","German","elephant","nouns","animals","Elefant",NA,NA,NA,NA,NA,NA,NA
"Ente","German","duck","nouns","animals","Ente",NA,NA,NA,NA,NA,NA,NA
"er","German","he","function_words","pronouns","er",2970,6.40844835693708,5.68679292094692,3.52620497802977,2.64199166353034,2.45982393874981,2.43370214943296
"es","German","it","function_words","pronouns","es",11435,5.06033148227695,4.76574772934984,3.33367803637891,2.51746494668847,2.30836797440716,2.27236480443906
"Esel","German","donkey","nouns","animals","Esel",NA,NA,NA,NA,NA,NA,NA
"essen","German","eat","verbs","action_words","essen",1650,6.9962350218392,7.17345430181049,4.35753984470499,2.64541507230618,2.14862581215719,2.06602294121459
"Essen","German","food","nouns","food_drink","Essen",NA,NA,NA,NA,NA,NA,NA
"euch","German","you","function_words","pronouns","euch",196,9.12665092950331,7.73722784103894,3.67737608092396,1.52944196111752,1.13768551676143,1.09188264021267
"Eule","German","owl","nouns","animals","Eule",NA,NA,NA,NA,NA,NA,NA
"fahren","German","drive","verbs","action_words","fahren",1774,6.9237734258643,6.75867952407941,4.06669807453684,2.56909670583388,1.99388972930342,1.90334096976042
"Fahrrad","German","bicycle","nouns","vehicles","Fahrrad",NA,NA,NA,NA,NA,NA,NA
"fallen","German","fall","verbs","action_words","fallen",97,9.83005461023044,9.60082586504663,5.14028689697034,3.65048478749058,3.48412843280505,3.45747933485948
"fangen","German","catch","verbs","action_words","fangen",112,9.68626671743873,9.5409248707278,5.07454716184682,3.63514847196473,3.27966562657626,3.21888567191503
"fein","German","fine","adjectives","descriptive_words","fein",286,8.74877377791397,10.2155221283492,7.63559779879509,6.55613642897066,6.30039638408986,6.27346037462056
"Fenster","German","window","nouns","furniture_rooms","Fenster",NA,NA,NA,NA,NA,NA,NA
"Fernseher","German","tv","nouns","furniture_rooms","Fernseher",NA,NA,NA,NA,NA,NA,NA
"fertig machen","German","finish","verbs","action_words","fertig machen",NA,NA,NA,NA,NA,NA,NA
"finden","German","find","verbs","action_words","finden",302,8.69433857135896,8.23110734235271,4.34317478393235,2.15972380953774,1.5805166950919,1.44122946739405
"Finger","German","finger","nouns","body_parts","Finger",NA,NA,NA,NA,NA,NA,NA
"Flasche","German","bottle","nouns","household","Flasche",NA,NA,NA,NA,NA,NA,NA
"Fleisch","German","meat","nouns","food_drink","Fleisch",NA,NA,NA,NA,NA,NA,NA
"Fliege","German","fly (animal)","nouns","animals","Fliege",NA,NA,NA,NA,NA,NA,NA
"Flugzeug","German","airplane","nouns","vehicles","Flugzeug",NA,NA,NA,NA,NA,NA,NA
"Frosch","German","frog","nouns","animals","Frosch",NA,NA,NA,NA,NA,NA,NA
"Fuchs","German","fox","nouns","animals","Fuchs",NA,NA,NA,NA,NA,NA,NA
"für","German","for","function_words","locations","für",3495,6.24567693406592,7.01334216257906,4.31237766005757,2.72498815591237,2.19762510920998,2.03866513358896
"Füße","German","feet","nouns","body_parts","Füße",NA,NA,NA,NA,NA,NA,NA
"füttern","German","feed","verbs","action_words","füttern",16,11.632176866494,8.79894904913506,3.05201854777201,1.29363533919335,0.874281698682698,0.676161386092554
"Gabel","German","fork","nouns","household","Gabel",NA,NA,NA,NA,NA,NA,NA
"Gans","German","goose","nouns","animals","Gans",NA,NA,NA,NA,NA,NA,NA
"Garage","German","garage","nouns","furniture_rooms","Garage",NA,NA,NA,NA,NA,NA,NA
"Garten","German","garden","nouns","outside","Garten",NA,NA,NA,NA,NA,NA,NA
"geben","German","give","verbs","action_words","geben",242,8.91582786257714,7.13445018760859,3.22877925747274,1.42107182250438,0.900938908957132,0.829428023471402
"gehen","German","walk","verbs","action_words","gehen",945,7.55358066124008,7.14271057923103,4.12327921122677,2.70248427065495,2.21880348621476,2.09187151886787
"gelb","German","yellow","adjectives","descriptive_words","gelb",498,8.19416551170917,10.1603722392308,7.19119376004525,5.64979554667991,5.20646250897645,5.13525227197461
"Geschenk","German","present","nouns","toys","Geschenk",NA,NA,NA,NA,NA,NA,NA
"Gesicht","German","face","nouns","body_parts","Gesicht",NA,NA,NA,NA,NA,NA,NA
"Giraffe","German","giraffe","nouns","animals","Giraffe",NA,NA,NA,NA,NA,NA,NA
"Glas","German","glass","nouns","household","Glas",NA,NA,NA,NA,NA,NA,NA
"Gras","German","grass","nouns","outside","Gras",NA,NA,NA,NA,NA,NA,NA
"groß","German","big","adjectives","descriptive_words","groß",504,8.18218932066246,7.64972734746126,4.91138138765282,3.0339384759393,2.30522324833735,2.13758117752998
"grün","German","green","adjectives","descriptive_words","grün",570,8.05912922790523,9.88181279449284,7.03427592813809,5.55767980477666,5.09278366512757,5.03882199472522
"gucken","German","watch (action)","verbs","action_words","gucken",2183,6.71631023218388,5.94788504418793,3.62792056678608,2.5595918918504,2.14113418487211,2.00158766733742
"gut","German","good","adjectives","descriptive_words","gut",3931,6.12811646331197,6.82012925089932,5.00684569847718,3.74652867615157,3.26311744171571,3.17201353238286
"Haare","German","hair","nouns","body_parts","Haare",NA,NA,NA,NA,NA,NA,NA
"haben","German","have","verbs","action_words","haben",5911,5.72019528790946,5.91882859520979,3.92014186974877,3.05192861289698,2.84096469425423,2.80302099788394
"halten","German","hold","verbs","action_words","halten",230,8.96668627981063,9.16672620270514,5.39228567149951,3.14964296397132,2.41972862190575,2.31032783278634
"Hammer","German","hammer","nouns","household","Hammer",NA,NA,NA,NA,NA,NA,NA
"Hand","German","hand","nouns","body_parts","Hand",NA,NA,NA,NA,NA,NA,NA
"Handschuhe","German","gloves","nouns","clothing","Handschuhe",NA,NA,NA,NA,NA,NA,NA
"Handtuch","German","towel","nouns","household","Handtuch",NA,NA,NA,NA,NA,NA,NA
"hart","German","hard","adjectives","descriptive_words","hart",46,10.5761241922447,11.0280677257338,6.52115500943331,3.27223651955464,2.54652494313357,2.503046682264
"Hase","German","bunny","nouns","animals","Hase",NA,NA,NA,NA,NA,NA,NA
"hauen","German","hit","verbs","action_words","hauen",50,10.4927425833057,9.86616903124557,6.37890909467625,4.72401287776913,4.15092047808181,4.09477337964066
"heiß","German","hot","adjectives","descriptive_words","heiß",261,8.84024518141113,9.5202180056006,6.4671240788746,4.19323346043434,3.41407363815882,3.2820704227853
"helfen","German","help","verbs","action_words","helfen",216,9.02948718104966,9.61918061399049,5.23400148956346,2.90210272602719,2.19240672715981,2.02616815180434
"Hemd","German","shirt","nouns","clothing","Hemd",NA,NA,NA,NA,NA,NA,NA
"Herd","German","stove","nouns","furniture_rooms","Herd",NA,NA,NA,NA,NA,NA,NA
"hier","German","here","function_words","locations","hier",13150,4.92058855112792,5.97719081890387,4.34080580108884,3.12111139673025,2.65386682187171,2.53382772977351
"Himmel","German","sky","nouns","outside","Himmel",NA,NA,NA,NA,NA,NA,NA
"hoch","German","high","adjectives","descriptive_words","hoch",683,7.87827072916304,8.31262771475205,5.05194799897907,3.03693836639757,2.4204740372712,2.31159917837847
"Hof","German","yard","nouns","outside","Hof",NA,NA,NA,NA,NA,NA,NA
"Honig","German","honey","nouns","food_drink","Honig",NA,NA,NA,NA,NA,NA,NA
"hören","German","hear","verbs","action_words","hören",145,9.42803184631325,9.20337278159094,5.00625714716005,2.88470784793105,2.18384995218924,2.08958647379661
"Hose","German","pants","nouns","clothing","Hose",NA,NA,NA,NA,NA,NA,NA
"Huhn","German","chicken (animal)","nouns","animals","Huhn",NA,NA,NA,NA,NA,NA,NA
"Hund","German","dog","nouns","animals","Hund",NA,NA,NA,NA,NA,NA,NA
"Igel","German","hedgehog","nouns","animals","Igel",NA,NA,NA,NA,NA,NA,NA
"ihm","German","him","function_words","pronouns","ihm",385,8.45152225444604,8.58428823707295,4.96454828285101,2.75009985483591,2.21268712472463,2.16252057794663
"ihnen","German","them","function_words","pronouns","ihnen",135,9.4994908102954,9.33451158837764,4.90983274817602,2.54470977798164,1.94586436389972,1.87186515065033
"ihr","German","her","function_words","pronouns","ihr",1457,7.12063078253862,5.16462199946255,3.13065262483302,2.24475156523323,2.06999410502105,2.03960525734903
"in","German","in","function_words","locations","in",7841,5.4376439325029,6.56222977436672,4.34431596136833,2.60595368409639,2.0359814574015,1.9264632366985
"Jacke","German","jacket","nouns","clothing","Jacke",NA,NA,NA,NA,NA,NA,NA
"Jeans","German","jeans","nouns","clothing","Jeans",NA,NA,NA,NA,NA,NA,NA
"jeder","German","beach","function_words","quantifiers","jeder",94,9.86147080646382,11.3943512044533,6.975524603454,5.51065838306236,5.37043689750337,5.31587005689757
"Joghurt","German","yogurt","nouns","food_drink","Joghurt",NA,NA,NA,NA,NA,NA,NA
"Käfer","German","bug","nouns","animals","Käfer",NA,NA,NA,NA,NA,NA,NA
"Kaffee","German","coffee","nouns","food_drink","Kaffee",NA,NA,NA,NA,NA,NA,NA
"Kakao","German","cacao","nouns","food_drink","Kakao",NA,NA,NA,NA,NA,NA,NA
"kalt","German","cold","adjectives","descriptive_words","kalt",349,8.5496936665314,8.7355191427344,5.26565520507713,2.80140534334573,2.0402843058813,1.93040563259822
"Kamera","German","camera","nouns","household","Kamera",NA,NA,NA,NA,NA,NA,NA
"Kamm","German","comb (object)","nouns","household","Kamm",NA,NA,NA,NA,NA,NA,NA
"kann","German","can (auxiliary)","function_words","helping_verbs","kann",4611,5.96856555652712,6.65890927246569,4.64917606914111,3.7799022048143,3.60841528089486,3.58792160161486
"kaputt","German","broken","adjectives","descriptive_words","kaputt",549,8.0966671472243,9.03353667526447,5.27104681651107,3.11745491652431,2.39356428949213,2.2794961465835
"kaputt machen","German","break","verbs","action_words","kaputt machen",NA,NA,NA,NA,NA,NA,NA
"Käse","German","cheese","nouns","food_drink","Käse",NA,NA,NA,NA,NA,NA,NA
"Katze","German","cat","nouns","animals","Katze",NA,NA,NA,NA,NA,NA,NA
"kaufen","German","buy","verbs","action_words","kaufen",232,8.95802821706752,7.57539454423391,3.6197418913118,1.67851258813004,1.11780650380955,1.03135026391554
"kein","German","no","function_words","quantifiers","kein",969,7.52850097684306,8.56432884204567,6.29210120572535,4.58206158405774,3.96380751909274,3.90761323071399
"keine","German","no","function_words","quantifiers","keine",1338,7.20583434804565,8.41071716550504,5.91743586550901,4.00922101928511,3.41028572972006,3.31906567084651
"keiner","German","no","function_words","quantifiers","keiner",99,9.80964573859924,10.6815101420768,6.41338230218175,4.17130262719878,3.84093200538171,3.79461925284918
"Keks","German","cookie","nouns","food_drink","Keks",NA,NA,NA,NA,NA,NA,NA
"Kinn","German","chin","nouns","body_parts","Kinn",NA,NA,NA,NA,NA,NA,NA
"Kissen","German","pillow","nouns","household","Kissen",NA,NA,NA,NA,NA,NA,NA
"kitzeln","German","tickle","verbs","action_words","kitzeln",26,11.1466690507123,11.2463764731845,5.62859212387411,4.39295627713747,3.98942346574018,3.98942346574018
"klatschen","German","clap","verbs","action_words","klatschen",6,12.6130061195058,13.6324142923459,10.7289137260963,9.51012808060512,9.24296201001321,9.24296201001321
"kleckern","German","spill","verbs","action_words","kleckern",11,12.0068703159355,13.3699843348941,9.72074173277336,8.05012863628522,7.65650147210377,7.63258925339161
"Kleid","German","dress (object)","nouns","clothing","Kleid",NA,NA,NA,NA,NA,NA,NA
"klein","German","little (description)","adjectives","descriptive_words","klein",277,8.78074808254649,8.11038969941452,4.95250667036524,2.58577808976677,1.64485016437107,1.48992754487998
"klettern","German","climb","verbs","action_words","klettern",65,10.2303783188382,10.6509392916445,6.17307058285303,3.89734123215837,3.02000569489369,2.94946781026721
"Klo","German","bathroom","nouns","furniture_rooms","Klo/Toilette",NA,NA,NA,NA,NA,NA,NA
"Knie","German","knee","nouns","body_parts","Knie",NA,NA,NA,NA,NA,NA,NA
"können","German","can (auxiliary)","function_words","helping_verbs","können",2422,6.61241666462079,6.91150010030906,4.55040024210192,3.66957096481181,3.49365519984944,3.46427470797046
"Kopf","German","head","nouns","body_parts","Kopf",NA,NA,NA,NA,NA,NA,NA
"krank","German","sick","adjectives","descriptive_words","krank",154,9.3678129863202,10.2587449368579,5.91127942197187,2.49420074471625,1.59598524317973,1.47776382360833
"kriegen","German","get","verbs","action_words","kriegen",414,8.37889961490851,8.55967108676997,5.02800216710912,3.4029203216976,2.94119972542776,2.87678703066907
"Krokodil","German","crocodile","nouns","animals","Krokodil",NA,NA,NA,NA,NA,NA,NA
"Küche","German","kitchen","nouns","furniture_rooms","Küche",NA,NA,NA,NA,NA,NA,NA
"Kuchen","German","cake","nouns","food_drink","Kuchen",NA,NA,NA,NA,NA,NA,NA
"Kuh","German","cow","nouns","animals","Kuh",NA,NA,NA,NA,NA,NA,NA
"Kühlschrank","German","refrigerator","nouns","furniture_rooms","Kühlschrank",NA,NA,NA,NA,NA,NA,NA
"Küken","German","chick","nouns","animals","Küken",NA,NA,NA,NA,NA,NA,NA
"küssen","German","kiss","verbs","action_words","küssen",8,12.325324047054,12.5348363395131,5.02526779294323,2.8104384746809,2.62111682807718,2.39519746281998
"lachen","German","laugh","verbs","action_words","lachen",38,10.7671794290074,10.7550306613209,6.62301979954575,4.54330168044541,4.08054216132748,4.01251683236113
"Lampe","German","lamp","nouns","household","Lampe",NA,NA,NA,NA,NA,NA,NA
"langsam","German","slow","adjectives","descriptive_words","langsam",252,8.8753365012224,9.97791611381284,6.2319143541633,3.69487924857498,3.0239610931432,2.8893310518701
"Lastwagen","German","truck","nouns","vehicles","Lastwagen",NA,NA,NA,NA,NA,NA,NA
"Lätzchen","German","bib","nouns","clothing","Lätzchen",NA,NA,NA,NA,NA,NA,NA
"laufen","German","walk","verbs","action_words","laufen",220,9.01113804238146,8.28932518657171,4.57100208539708,2.45400507244512,1.62008988495822,1.54201406192567
"laut","German","loud","adjectives","descriptive_words","laut",184,9.18982983112484,9.0910164212206,5.52537045931944,2.74138164530381,1.89246902022061,1.77137878081649
"lecken","German","lick","verbs","action_words","lecken",2,13.7116184081739,11.3885448659826,6.89155027656114,6.09906902620056,6.09906902620056,6.09906902620056
"leer","German","empty","adjectives","descriptive_words","leer",125,9.57645185143152,10.019731627208,5.30642601689555,3.08428643586553,2.35552959053683,2.26927871282863
"Leiter","German","ladder","nouns","outside","Leiter",NA,NA,NA,NA,NA,NA,NA
"lesen","German","read","verbs","action_words","lesen",103,9.77003660050419,10.1601529346873,5.10475445862094,2.54076638255404,1.83985884404909,1.69782625550463
"Licht","German","light (object)","nouns","household","Licht",NA,NA,NA,NA,NA,NA,NA
"Löffel","German","spoon","nouns","household","Löffel",NA,NA,NA,NA,NA,NA,NA
"Löwe","German","lion","nouns","animals","Löwe",NA,NA,NA,NA,NA,NA,NA
"Luftballon","German","balloon","nouns","toys","Luftballon",NA,NA,NA,NA,NA,NA,NA
"machen","German","make","verbs","action_words","machen",5892,5.72341481115131,5.97399020738866,3.95604722144093,2.69838972068129,2.27142168978853,2.19890177746721
"malen","German","draw","verbs","action_words","malen",917,7.58365811647736,7.88047666498433,4.50490732790322,2.4681248619462,1.76891893214328,1.65517552865801
"Mantel","German","coat","nouns","clothing","Mantel",NA,NA,NA,NA,NA,NA,NA
"Marmelade","German","jam","nouns","food_drink","Marmelade",NA,NA,NA,NA,NA,NA,NA
"Maus","German","mouse","nouns","animals","Maus",NA,NA,NA,NA,NA,NA,NA
"Medizin","German","medicine","nouns","household","Medizin",NA,NA,NA,NA,NA,NA,NA
"mehr","German","more","function_words","quantifiers","mehr",2270,6.67723047825838,5.26126249229043,3.51107066183935,2.11067040774688,1.38176463575458,1.22522522688628
"mein","German","my","function_words","pronouns","mein",680,7.88267279056367,8.96084385275283,6.1702739054452,4.70311758323081,4.22825235606218,4.11104026320272
"meiner","German","mine","function_words","pronouns","meiner",114,9.66856714033933,9.89314372774896,5.94159093278708,3.74154126648319,3.37659541391737,3.31405784359329
"Messer","German","knife","nouns","household","Messer",NA,NA,NA,NA,NA,NA,NA
"mich","German","me","function_words","pronouns","mich",1264,7.26272901402702,5.90474166385162,3.2933716216446,1.94551762389227,1.61531102492652,1.57671584687578
"Milch","German","milk","nouns","food_drink","Milch",NA,NA,NA,NA,NA,NA,NA
"mir","German","me","function_words","pronouns","mir",2780,6.47455938204914,5.79307135719511,3.4958368869578,2.20107489177813,1.84740350092962,1.80389424824461
"mit","German","with","function_words","locations","mit",9332,5.26356095559251,6.41809656393633,4.35475503190907,2.87727612638871,2.38609065292515,2.2748491587383
"Mond","German","moon","nouns","outside","Mond",NA,NA,NA,NA,NA,NA,NA
"Motorrad","German","motorcycle","nouns","vehicles","Motorrad",NA,NA,NA,NA,NA,NA,NA
"müde","German","tired","adjectives","descriptive_words","müde",354,8.53546867560005,9.39608039552808,5.65446102398183,3.07757385562341,2.38833035438941,2.31043623639766
"Müll","German","trash","nouns","household","Müll",NA,NA,NA,NA,NA,NA,NA
"Mund","German","mouth","nouns","body_parts","Mund",NA,NA,NA,NA,NA,NA,NA
"Müsli","German","cereal","nouns","food_drink","Müsli",NA,NA,NA,NA,NA,NA,NA
"Mütze","German","hat","nouns","clothing","Mütze",NA,NA,NA,NA,NA,NA,NA
"Nagel","German","nail (object)","nouns","household","Nagel",NA,NA,NA,NA,NA,NA,NA
"Nase","German","nose","nouns","body_parts","Nase",NA,NA,NA,NA,NA,NA,NA
"nass","German","wet (description)","adjectives","descriptive_words","nass",244,8.90759736344062,9.41268732563747,5.60582523270938,3.17106365898075,2.25901697231309,2.13821850264667
"nehmen","German","take","verbs","action_words","nehmen",908,7.59352121013253,7.95172972498229,4.83545982185318,3.08022532565738,2.51807740276567,2.40000277407851
"nett","German","nice","adjectives","descriptive_words","nett",208,9.06722750903251,9.1845651680333,5.9321621192409,3.60953975085269,2.68897424349514,2.51262028367684
"neu","German","new","adjectives","descriptive_words","neu",138,9.47751190357662,9.90134680177951,5.69928177336146,2.9896386204643,2.14605078482187,2.01412253399581
"nicht","German","not","function_words","quantifiers","nicht",18490,4.57978026435266,4.85027155688622,3.3354508529896,2.08347445956751,1.65227255228802,1.59097017015403
"nichts","German","nothing","function_words","quantifiers","nichts",953,7.54515068507962,8.39114669300592,5.16724214394914,2.87377424178756,2.29666850404619,2.23297056902368
"niedlich","German","cute","adjectives","descriptive_words","niedlich",10,12.1021804957398,11.2812856332334,6.58370672220912,3.21266782684794,2.17683410382169,2.15459486168804
"Nilpferd","German","hippopotamus","nouns","animals","Nilpferd",NA,NA,NA,NA,NA,NA,NA
"Nudeln","German","pasta","nouns","food_drink","Nudeln",NA,NA,NA,NA,NA,NA,NA
"öffnen","German","open (action)","verbs","action_words","öffnen",23,11.2692713728047,9.37683627495823,5.89201814741903,3.15435971974077,2.36794829186032,2.16860209617679
"Ohr","German","ear","nouns","body_parts","Ohr",NA,NA,NA,NA,NA,NA,NA
"orange","German","orange (description)","adjectives","descriptive_words","orange",192,9.14727021670605,10.7489161986212,7.61334880054149,5.42952258143882,4.86899382254347,4.70449873158331
"Orange","German","orange (food)","nouns","food_drink","Orange/Apfelsine",NA,NA,NA,NA,NA,NA,NA
"Papier","German","paper","nouns","toys","Papier",NA,NA,NA,NA,NA,NA,NA
